title,agency,career_level,salary_range_from,salary_range_to
Purchasing Specialist- Office of Chief Information Officer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),43728,68645
Team Supervisor,DEPARTMENT FOR THE AGING,Experienced (non-manager),66442,76408
INDUSTRIAL HYGIENIST,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),47390,67023
Public Health Nurse-  Bureau of Environmental Disease and Injury Prevention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),76716,76716
Engagement & Operations Manager,DEPARTMENT OF SANITATION,Experienced (non-manager),84451,113550
CHIEF MARINE ENGINEER (DIESEL),DEPT OF ENVIRONMENT PROTECTION,Manager,87792,87792
Watershed Maintainer,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,43532,63673
Project Development Coordinator for Innovation and Performance Management,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Project Development Coordinator for Innovation and Performance Management,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Program Manager,DEPARTMENT OF PROBATION,Entry-Level,38333,63794
Investment Officer- Alternative Credit,OFFICE OF THE COMPTROLLER,Manager,110000,133900
Data Analytics Auditor- Bureau of Audit Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),82506,86000
Electrician,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),440.16,440.16
Staff Analyst,OFFICE OF LABOR RELATIONS,Experienced (non-manager),53797,73243
ASSISTANT COMMISSIONER/DEPUTY CHIEF ENGINEER,DEPARTMENT OF TRANSPORTATION,Manager,80931,208826
STOCK WORKER II,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),36900,55173
SPECIAL PROJECTS LEAD,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,68048
Field Audit Review (FAR) Trainer in the Administration & Internal Compliance Division (AIC),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),75000,75000
Senior Project Manager- Moderate Rehabilitation and Stabilization Loan Programs for the Division of Preservation Finance,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),85000,85000
Senior Timekeeper,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),60718,90773
Analyst  Corporate and Personal Income Revenue Forecasting,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,65604,83399
Senior Design Reviewer (Mechanical),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),80557,105000
SENIOR PEOPLESOFT SYSTEMS ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),105000,120000
PC BANK FACILITATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51715,51715
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Assistant General Counsel,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),58700,100000
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),60793,69912
TIMEKEEPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),40017,62820
Senior Associate General Counsel- Investment Transactions,OFFICE OF THE COMPTROLLER,Manager,130000,140000
Assistant Director for the Administrative Banking unit,OFF OF PAYROLL ADMINISTRATION,Manager,90000,105000
ASSISTANT PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Project Manager,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),67500,77500
Public Health Advisor II- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51528,54228
Deputy Commissioner- Wastewater Treatment,DEPT OF ENVIRONMENT PROTECTION,Executive,231796,231796
Fleet Operations Lead,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),62475,78345
Watershed Forester,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),67757,98128
Team Supervisor,DEPARTMENT FOR THE AGING,Experienced (non-manager),66442,76408
Program Supervisor,DEPT OF YOUTH & COMM DEV SRVS,Entry-Level,15.45,17.65
President of the Trust (NYC Public Housing Preservation Trust),NYC HOUSING AUTHORITY,Executive,116506,252165
Staff Counsel,CONSUMER AND WORKER PROTECTION,Experienced (non-manager),71423,82137
Technical Assistant to the First Deputy Director of Water Quality & Innovation,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),89612,117763
Associate Public Health Sanitarian,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),67335,101875
Senior Correctional Institution Administrator,DEPARTMENT OF CORRECTION,Manager,150000,175000
JOB DEVELOPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,83981
Senior Project Manager- Capital Project Implementation,DEPT OF CITYWIDE ADMIN SVCS,Manager,85000,95000
Business Analyst for the Division of HPD Tech,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),90570,104156
Capital Projects Estimating Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Capital Projects Estimating Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Office Manager,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60718,90773
Sr .NET Developer  CRM Developer,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),100743,130701
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,65640
Data Coordinator- Relay- Bureau of Alcohol and Drug Use- Prevention- Care- and Treatment,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),64140,64140
GETCOVEREDNYC OUTREACH DIRECTOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),62282,84836
City Planner,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),65208,81943
Deputy Engineer in Charge- Infrastructure,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Arts Project Coordinator,DEPARTMENT OF CORRECTION,Experienced (non-manager),57394,66003
WorkWell NYC Program Director,OFFICE OF LABOR RELATIONS,Manager,72038,192152
Initiative Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),59116,91768
Economic Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80103,100532
In-House EHS Manager,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
Section Chief of Lifecycle Management,DEPT OF ENVIRONMENT PROTECTION,Manager,90114,122168
Plan Examiner- Cranes & Derricks,DEPARTMENT OF BUILDINGS,Experienced (non-manager),88026,101230
Instructor- Civilian Training Program,POLICE DEPARTMENT,Experienced (non-manager),53797,73243
AOT Clerical Support- Bureau of Mental Health/AOT,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),36390,50000
Contract Manager,DEPARTMENT OF SANITATION,Experienced (non-manager),60193,90704
NYC Local Conditional Release Commission (LCRC) Coordinator,DEPARTMENT OF PROBATION,Experienced (non-manager),60718,90773
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Deputy Director of CoC Contracts for the Division of Housing Opportunity & Program Services,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),81571,91075
Quality Assurance Auditor,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,65640
Clinical Social Worker- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),70488,75000
Senior Detective Investigator,DISTRICT ATTORNEY RICHMOND COU,Experienced (non-manager),70877,82730
Executive Director,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),102292,163512
Deputy Engineer in Charge- Infrastructure,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
ATTORNEY INTERNE,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),62397,75760
INCIDENT MANAGEMENT SYSTEM PROGRAM MANAGER,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),65000,74000
Tier I Service Technician Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75000,130000
Mainframe Development Lead,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),140000,150000
Assistant Director,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),59049,75000
Director of Program Finance and Operations,DEPARTMENT OF BUSINESS SERV.,Manager,80000,85000
Homeless Placement Services Team Leader for the Division of Housing Opportunity & Program Services,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),81571,93807
Associate Staff Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),70611,105138
Analyst  Stimulus,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
Senior Policy Advisor- Sustainability,DEPARTMENT OF BUILDINGS,Manager,58700,123000
Assistant Team Leader,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
Law School Summer Intern 2024,BRONX DISTRICT ATTORNEY,Student,18.83,18.83
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56677,65179
Analyst  Environmental Sustainability and Resiliency,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,65604,83399
Licensed Barber,DEPARTMENT OF CORRECTION,Entry-Level,35197,40477
Civil Engineer I,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Plumber's Helper,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,36.95,36.95
Design-Build Project Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56972,157803
Chief Operating Officer (NYC Public Housing Preservation Trust),NYC HOUSING AUTHORITY,Executive,106729,241434
Staff Attorney,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),75000,82500
District Manager,MANHATTAN COMMUNITY BOARD #1,Manager,80000,93000
Control Specialist,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),398.02,398.02
FHCU Agency Attorney,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),79620,117541
Finance Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),84451,113550
Assistant Analyst  Financial & Personnel Planning Systems & Budget Publications,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,51550
Supervising Attorney-Source of Income Unit,HUMAN RIGHTS COMMISSION,Manager,95000,95000
Zoning Specialist,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),67757,77921
DIRECTOR OF IT PROCUREMENT AND SERVICES,HRA/DEPT OF SOCIAL SERVICES,Manager,65232,114000
Project Development Coordinator for GreenThumb,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Personnel Specialist,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53057,77124
Director of Public Safety Applications,FIRE DEPARTMENT,Experienced (non-manager),0,180000
Assistant General Counsel,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),71423,107032
Associate Chemist I,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56147,82220
Carpenter,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),375.06,375.06
GIS Editor,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56069,78142
Mainframe Systems Programmer,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),0,140000
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Senior Planner,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),92301,121296
Collections Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
AGENCY ATTORNEY I,HUMAN RIGHTS COMMISSION,Entry-Level,63228,96526
Project Manager for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),60000,70000
Civil Engineer I,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),67757,98128
Public Health Inspector- Bureau of Food Safety and Community Sanitation,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,45722
Investigative Auditor,DEPARTMENT OF INVESTIGATION,Entry-Level,45113,60000
Digital Evidence Specialist,BRONX DISTRICT ATTORNEY,Experienced (non-manager),60000,60000
Capital Coordinator â Bike Unit,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Executive Project Manager,DEPARTMENT OF CORRECTION,Experienced (non-manager),95000,113550
Deputy Commissioner- Public Information,DEPARTMENT OF CORRECTION,Executive,180000,195000
Summer Intern,DEPARTMENT OF TRANSPORTATION,Student,15,17.5
Case Manager for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Entry-Level,40667,46767
.NET Developer - IT Division - Application Services,LAW DEPARTMENT,Experienced (non-manager),110000,110000
Public Health Navigator- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,54228
Assistant Civil Engineer,FIRE DEPARTMENT,Experienced (non-manager),57078,70891
Team Leader- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54270,75000
AGENCY ATTORNEY III,NYC EMPLOYEES RETIREMENT SYS,Experienced (non-manager),79620,91563
Data Management Specialist,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),54100,66000
PROCEDURES COORDINATOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),61015,77124
Certified IT Administrator (Database)- III,POLICE DEPARTMENT,Experienced (non-manager),92194,130372
Air Permitting Administrative Support Associate,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,40017,62820
Air Permitting Administrative Support Associate,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,40017,62820
HR Administrative Support,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53057,77124
RESIDENT BUILDING SUPERINTENDENT (HA),NYC HOUSING AUTHORITY,Manager,60171,93630
Senior Investigator,NYC HOUSING AUTHORITY,Experienced (non-manager),71423,95000
Communications Director,DEPARTMENT FOR THE AGING,Manager,110000,114000
ASHR Field Tech.,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),28.1034,40.9206
Analyst  Service Desk Operations,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
Clerical Associate Level 3,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),36390,58953
Data Analyst,OFFICE OF THE COMPTROLLER,Experienced (non-manager),90000,110000
Assistant Commissioner for Urban Park Service,DEPT OF PARKS & RECREATION,Manager,160000,160000
UNIT CLERK,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),36390,41848
City Custodial Assistant,DEPT OF CITYWIDE ADMIN SVCS,Entry-Level,35252,40338
Senior Policy Advisor,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),94283,122290
MINORITY/ WOMEN BUSINESS ENTERPRISE (M/WBE) LIAISON,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),38333,63794
Personnel Administrator,LAW DEPARTMENT,Experienced (non-manager),81951,94244
Deputy Director- Benefits and Leave,DEPARTMENT FOR THE AGING,Experienced (non-manager),90000,98830
Case Manager,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),36390,58953
HIRENYC COMPLIANCE ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),62470,71840
Counselor- Employee Assistance Unit,DEPARTMENT OF SANITATION,Experienced (non-manager),54878,98537
Executive Assistant to Director of Bridge Repair,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),84451,113550
Corridor Planner,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
Croton Regional Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),81571,119554
School Surveyor- Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),38333,38333
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
RESIDENT BUILDING SUPERINTENDENT (HA),NYC HOUSING AUTHORITY,Manager,60171,93630
Field Technician,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),45439,68757
Deputy Commissioner- Coastal Resiliency,DEPT OF ENVIRONMENT PROTECTION,Executive,225000,245000
Quality Assurance Specialist L02,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),49950,57442
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Senior Business Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90000,130000
NYPD Community Ambassador,POLICE DEPARTMENT,Experienced (non-manager),100000,103000
Chief of Bluebelt Planning and Design,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
Senior Research Associate,DEPARTMENT FOR THE AGING,Experienced (non-manager),84468,97138
Administrative Assistant,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60718,90773
Clerical Associate for Ethics and Compliance,LAW DEPARTMENT,Experienced (non-manager),36390,41848
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),60793,69912
Assistant Commissioner/Negotiator,OFFICE OF LABOR RELATIONS,Executive,80931,208826
Solicitation/Specification Writer- Office of the Agency Chief Contracting Officer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58700,75000
Managing Attorney,ADMIN TRIALS AND HEARINGS,Manager,100000,114621
Community Engagement Coordinator -Community Affairs Unit,BRONX DISTRICT ATTORNEY,Experienced (non-manager),54786,54786
DIRECTOR- SNAP CLAIMS AND RECOVERY (SNAP-CR),HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),66322,98830
Forester,DEPT OF PARKS & RECREATION,Experienced (non-manager),59497,59497
Forester,DEPT OF PARKS & RECREATION,Experienced (non-manager),59497,59497
Special Victims Division  Trial Preparation Assistant Lv 2,BRONX DISTRICT ATTORNEY,Experienced (non-manager),50000,50000
Investigative Attorney,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,70000
WTC CASE MANAGEMENT NURSE,FIRE DEPARTMENT,Experienced (non-manager),84744,84744
RECOVERY & RESILIENCY CONTRACTS PROGRAM MANAGER,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),65000,74000
Operations and Budget: Executive Assistant,BRONX DISTRICT ATTORNEY,Experienced (non-manager),62215,62215
External Affairs College Aide,DEPT OF RECORDS & INFO SERVICE,Student,15.5,19.9
ASHR Field Tech.,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),28.1034,40.9206
WEB APPLICATION DEVELOPER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),110000,115000
Division Chief of IT Support,DEPT OF ENVIRONMENT PROTECTION,Manager,72038,192152
Middleware Engineer,DEPARTMENT OF CORRECTION,Experienced (non-manager),100000,160000
IT Product Owner,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),92301,105000
Case Manager,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),36390,58953
Compliance and Performance Unit Lead,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75504,94761
ARCHITECTURAL INTERN,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,62260
Engineer-In-Charge,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),74650,92640
Assistant Commissioner- OD&HR,DEPT OF ENVIRONMENT PROTECTION,Executive,175000,208826
Claiming Analyst - Bureau of Budget and Revenue,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),56013,60000
Risk Officer (Asset Management),OFFICE OF THE COMPTROLLER,Manager,110000,133900
ServiceNow Architect,NYC HOUSING AUTHORITY,Experienced (non-manager),0,180000
Director of Legislative Affairs- Bureau of Government Affairs,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),96772,120000
ASSISTANT CIVIL ENGINEER,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
